430588,500/1-001,Antimatter in the Lab  (1/2),2006-07-13 09:15:00,2006-07-13 10:00:00,('Landua R (CERN)'),Support Cds,simple_event,345,These two lectures for non-specialists will start with a short theoretical and historical overview:<BR>-    Why are antiparticles needed?<BR>  -    Why is the symmetry between matter and antimatter so fundamental?<BR> -    What is the role of antimatter in cosmology?<BR><BR>It follows a tour of the many uses of antiparticles in experimental physics: as a tool in accelerators; as a probe inside atoms or nuclei; or as an object to study fundamental symmetries.<BR>The lecture will then focus on the "antimatter" programme at the Antiproton Decelerator (AD) at CERN where large numbers of slow moving antihydrogen atoms have been produced for the first time. An outlook on present and potential future applications of antiparticles in science and our daily life will conclude the overview hopefully within the allocated time. <BR><BR><I>Organiser(s): HR-RFA</I>,https://indico.cern.ch/event/430588/
431996,500/1-001,Introduction to Electronics for HEP (1/3),2007-07-23 11:15:00,2007-07-23 12:00:00,('Christiansen J (CERN)'),Support Cds,simple_event,345,,https://indico.cern.ch/event/431996/
520942,500/1-001,Flavour Physics and CP violation (1/4),2016-07-11 11:25:00,2016-07-11 12:20:00,('Gershon Timothy'),Bednarikova Martina,simple_event,345,,https://indico.cern.ch/event/520942/
521926,500/1-001,Superconductivity and SC Magnets for the LHC Upgrade (2/2),2016-07-18 11:25:00,2016-07-18 12:20:00,('Ferracin Paolo'),Bednarikova Martina,simple_event,345,,https://indico.cern.ch/event/521926/
632191,500/1-001,From Raw Data to Physics Results (3/3),2017-07-07 10:25:00,2017-07-07 11:20:00,('Sfyrla Anna'),Badinova Eszter,simple_event,345,,https://indico.cern.ch/event/632191/
34724,500/1-001,Introduction to Statistics (2/4),2008-07-31 11:15:00,2008-07-31 12:00:00,('Cowan G (University of London)'),Blondeau Virginie,simple_event,345,The four lectures will present an introduction to statistical methods as used in HighEnergy Physics. As the time will be very limited the course will seek mainly to define theimportant issues and to introduce the most wide used tools. Topics will include theinterpretation and use of probability estimation of parameters and testing ofhypotheses.Prerequisite knowledge: standard university level mathematics,https://indico.cern.ch/event/34724/
388243,500/1-001,Heavy Ions (3/3),2015-07-24 10:15:00,2015-07-24 11:00:00,('Loizides Constantinos'),Morales Bazan Maria Jose,simple_event,345,,https://indico.cern.ch/event/388243/
632079,500/1-001,Particle World (2/3),2017-06-27 11:40:00,2017-06-27 12:35:00,('Shears Tara'),Badinova Eszter,simple_event,345,,https://indico.cern.ch/event/632079/
243655,500/1-001,Electronics / TDAQ (1/3),2013-07-11 10:15:00,2013-07-11 11:00:00,('Dr VANDELLI Wainer (CERN)'),Tolosa Eva,simple_event,345,Introduction to Electronics DAQ and Trigger Technology.,https://indico.cern.ch/event/243655/
387992,500/1-001,Triggers for LHC Physics,2015-07-16 09:15:00,2015-07-16 10:00:00,('Dr Bocci Andrea'),Morales Bazan Maria Jose,simple_event,345,,https://indico.cern.ch/event/387992/
413791,500/1-001,Dreams of a Finite Theory (1/1),1999-08-13 10:15:00,1999-08-13 11:15:00,('G. Veneziano (CERN-TH)'),Support Cds,simple_event,345,,https://indico.cern.ch/event/413791/
414017,500/1-001,The CLIC Concept for a Compact Linear Collider,2003-07-23 14:00:00,2003-07-23 14:45:00,('Assmann R (CERN)'),Support Cds,simple_event,345,<BR><BR><I>Organiser(s): HR-RFA</I><BR><BR><B>Summary:</B><BR>An electron-positron linear collider is presently the favorite option for a future particle physics facility at the energy frontier. Different concepts for such a facility are being studied in Europe the United States and Japan. The Compact Linear Collider (CLIC) is being developed at CERN as a possible future project beyond the LHC. The CLIC concept is based on an innovative two-beam acceleration scheme promising the generation and collision of nanometer-size particle beams. The high accelerating gradients of CLIC would reduce the size of such a facility and allow for an energy reach of up to 3 TeV center-of-mass. The basic scheme of CLIC its promises its challenges and its past achievements are explained.<BR><BR><B>Prerequisite knowledge and references:</B><BR>Classical mechanics classical electro-dynamics (e.g. J.D. Jackson).,https://indico.cern.ch/event/414017/
414023,500/1-001,Beyond the Standard Model (1/3),2001-07-30 09:15:00,2001-07-30 10:00:00,('G. Guidice (CERN)'),Support Cds,simple_event,345,These lectures are in introduction to theories beyond the standard model. The main features of grand unification supersymmetry andtechnicolour will be discussed. <BR><BR><I>Organiser(s): HR-RFA</I>,https://indico.cern.ch/event/414023/
417937,500/1-001,Detectors (3/5),2004-07-19 11:15:00,2004-07-19 12:00:00,('Ullaland O (CERN)'),Support Cds,simple_event,345,This lecture series on detectors will give a general although somewhat compressed introduction to particle interaction with matter and magnetic fields. Tracking detectors and calorimeters will also be covered as well as particle identification systems. The lectures will start out with a short review of particle interaction with fields and then we will discuss particle detection. At the end some common composite detection systems will be described. <BR><BR><I>Organiser(s): HR-RFA</I>,https://indico.cern.ch/event/417937/
424436,500/1-001,Neutrino Physics (1/4),2005-08-08 10:15:00,2005-08-08 11:00:00,('Gomez Cadenas J-J (IFIC - Instituto de Física Corpuscular)'),Support Cds,simple_event,345,Neutrino history Neutrino oscillationsCurrent neutrino (oscillation) experiments Future.<BR><BR><I>Organiser(s): HR-RFA</I><BR><BR>Note:Very basic knowledge of math and quantum mechanics.,https://indico.cern.ch/event/424436/
432007,500/1-001,Beyond the Standard Model (3/4),2007-08-01 09:15:00,2007-08-01 10:00:00,('Kiritsis E (Ecole Polytechnique CPHT)'),Support Cds,simple_event,345,The necessity for new physics beyond the Standard Model will be motivated. Theoretical problems will be exposed and possible solutions will be described. The goal is to present the exciting new physics ideas that will be tested in the near future. Supersymmetry grand unification extra dimensions and string theory will be presented. Prerequisite Knowledge: Good quantum mechanics and special relativity. Elements of Quantum Field Theory are a plus. The courses of G. Ross and A. Pich in this year's series of lectures.,https://indico.cern.ch/event/432007/
432016,500/1-001,Introduction to Statistics (4/4),2007-08-03 09:15:00,2007-08-03 10:00:00,('Cowan G (University of London)'),Support Cds,simple_event,345,The three lectures will present an introduction to statistical methods as used in High Energy Physics. As the time will be very limited the course will seek mainly to define the important issues and to introduce the most wide used tools. Topics will include the interpretation and use of probability estimation of parameters and testing of hypotheses. More information: http://www.pp.rhul.ac.uk/~cowan/stat_cern.html,https://indico.cern.ch/event/432016/
432047,500/1-001,Discussion Session,2007-07-17 12:00:00,2007-07-17 12:30:00,('Ross G / Palanque-Delabrouille N'),Support Cds,simple_event,345,,https://indico.cern.ch/event/432047/
91720,Globe 1st Floor,Standard Model (2/6),2010-07-12 11:15:00,2010-07-12 12:00:00,('Terning J.'),S'Hien Laila,simple_event,345,,https://indico.cern.ch/event/91720/
521914,500/1-001,Monte-Carlo Techniques (1/2),2016-08-01 09:15:00,2016-08-01 10:10:00,('Webber Bryan'),Bednarikova Martina,simple_event,345,,https://indico.cern.ch/event/521914/
632094,500/1-001,Accelerators (5/5),2017-07-05 09:15:00,2017-07-05 10:10:00,('Kain Verena'),Badinova Eszter,simple_event,345,,https://indico.cern.ch/event/632094/
634026,500/1-001,Flavour Physics and CP violation (1/4),2017-07-13 10:25:00,2017-07-13 11:20:00,('Isidori Gino'),Badinova Eszter,simple_event,345,,https://indico.cern.ch/event/634026/
817598,500/1-001,Beyond Standard Model - 3/4,2019-07-25 09:15:00,2019-07-25 10:10:00,('Mccullough Matthew Philip'),Bejaoui Adriana,simple_event,345,,https://indico.cern.ch/event/817598/
817606,500/1-001,Nuclear Physics at CERN - 2/2,2019-07-30 09:15:00,2019-07-30 10:10:00,('Heylen Hanne'),Bejaoui Adriana,simple_event,345,,https://indico.cern.ch/event/817606/
632138,500/1-001,Detectors (5/5),2017-07-04 09:15:00,2017-07-04 10:10:00,('Wingerter Isabelle'),Badinova Eszter,simple_event,345,,https://indico.cern.ch/event/632138/
634023,500/1-001,Superconductivity and SC magnets for the LHC Upgrade (2/2),2017-07-14 10:25:00,2017-07-14 11:20:00,('Ferracin Paolo'),Badinova Eszter,simple_event,345,,https://indico.cern.ch/event/634023/
713467,500/1-001,Foundation of Statistics (4/4),2018-06-29 09:15:00,2018-06-29 10:10:00,('Hoecker Andreas'),Driva Despoina,simple_event,345,,https://indico.cern.ch/event/713467/
57567,500/1-001,Physics at Hadron Colliders (3/4),2009-08-05 10:15:00,2009-08-05 11:00:00,('Heinemann B (University of California Berkeley)'),Saulnier Laura,simple_event,345,,https://indico.cern.ch/event/57567/
190169,500/1-001,Cosmology (Introduction to Cosmology) (2/4),2012-08-08 10:15:00,2012-08-08 11:00:00,('Prof. Verde Licia (ICREA and ISC University of Barcelona)'),Carrano Chiara,simple_event,345,http://icc.ub.edu/~liciaverde/HomePage.html,https://indico.cern.ch/event/190169/
414200,503/1-001,Basic Science Society and Technological Innovation,2002-08-07 14:00:00,2002-08-07 16:00:00,('Benvenuti C   ; COUNCIL CHAMBER (CERN)'),Support Cds,simple_event,345,<BR><BR><I>Organiser(s): HR-RFA</I>,https://indico.cern.ch/event/414200/
430613,500/1-001,Detectors (3/5),2006-07-11 10:15:00,2006-07-11 11:00:00,('Ullaland O (CERN)'),Support Cds,simple_event,345,This lecture series on detectors will give a general although somewhat compressed introduction to particle interaction with matter and magnetic fields. Tracking detectors and calorimeters will also be covered as well as particle identification systems. The lectures will start out with a short review of particle interaction with fields and then we will discuss particle detection. At the end some common composite detection systems will be described.<BR><BR><I>Organiser(s): HR-RFA</I>,https://indico.cern.ch/event/430613/
432025,500/1-001,ATLAS and CMS at the LHC: from design to reality and some historical facts (2/2),2007-08-07 10:15:00,2007-08-07 11:00:00,('Froidevaux D (CERN)'),Support Cds,simple_event,345,This introduction will cover the 20 years which brought the LHC experiments from vague conceptual ideas to what can be seen at CERN in the various experimental halls today. The topics covered will go chronologically from the conceptual design and initial assessment of the physics reach to the R&D issues tackled and solved between 1990 and 2000 to the construction period with its own challenges of a different nature from those of the R&D phase and finally to the current integration installation and commissioning phase and to the preparation for initial operation data-taking and physics analysis.No prerequisite knowledge required.,https://indico.cern.ch/event/432025/
